created_at,last_move_at,turns,white_rating,black_rating,opening_ply
1504210000000.0,1504210000000.0,0.026000000000000002,1500,1191,5
1504130000000.0,1504130000000.0,0.032,1322,1261,4
1504130000000.0,1504130000000.0,0.122,1496,1500,3
1504110000000.0,1504110000000.0,0.122,1439,1454,3
1504030000000.0,1504030000000.0,0.19,1523,1469,5
1504240000000.0,1504240000000.0,0.01,1250,1002,4
1504230000000.0,1504230000000.0,0.066,1520,1423,10
1503680000000.0,1503680000000.0,0.018000000000000002,1413,2108,5
1503510000000.0,1503510000000.0,0.132,1439,1392,6
1503440000000.0,1503440000000.0,0.23800000000000002,1381,1209,4
1503350000000.0,1503350000000.0,0.078,1381,1272,1
1503350000000.0,1503350000000.0,0.076,1381,1867,9
1503350000000.0,1503350000000.0,0.12,1381,1936,3
1503340000000.0,1503340000000.0,0.062,1381,1607,2
1504090000000.0,1504100000000.0,0.062,1094,1141,8
1504090000000.0,1504090000000.0,0.08600000000000001,1141,1094,7
1504090000000.0,1504090000000.0,0.10400000000000001,1094,1141,8
1504010000000.0,1504010000000.0,0.132,1141,1094,8
1504010000000.0,1504010000000.0,0.202,1094,1300,5
1503760000000.0,1503760000000.0,0.05,1500,1094,2
1502950000000.0,1502950000000.0,0.028,1094,1676,6
1502950000000.0,1502950000000.0,0.006,1094,1068,2
1502950000000.0,1502950000000.0,0.034,1500,1094,3
1502950000000.0,1502950000000.0,0.07200000000000001,1307,1106,4
1502860000000.0,1502860000000.0,0.026000000000000002,1113,1423,3
1502780000000.0,1502780000000.0,0.138,1078,1219,4
1502780000000.0,1502780000000.0,0.08600000000000001,1825,1079,8
1502780000000.0,1502780000000.0,0.108,1328,1038,4
1502780000000.0,1502780000000.0,0.106,1056,1156,4
1502780000000.0,1502780000000.0,0.132,1077,1148,4
1502780000000.0,1502780000000.0,0.128,1358,1036,3
1502780000000.0,1502780000000.0,0.128,1200,1002,6
1502780000000.0,1502780000000.0,0.108,1203,1019,3
1502720000000.0,1502720000000.0,0.042,1019,1500,6
1502430000000.0,1502430000000.0,0.022,1422,975,3
1502430000000.0,1502430000000.0,0.038,976,1832,4
1502430000000.0,1502430000000.0,0.056,1569,978,10
1502210000000.0,1502210000000.0,0.044,978,1500,2
1502210000000.0,1502210000000.0,0.074,1500,978,17
1502030000000.0,1502030000000.0,0.068,2449,978,3
1499700000000.0,1499700000000.0,0.064,1207,978,10
1499700000000.0,1499700000000.0,0.14200000000000002,1241,978,3
1499620000000.0,1499620000000.0,0.06,1500,978,3
1499610000000.0,1499620000000.0,0.132,2443,978,17
1499330000000.0,1499330000000.0,0.082,1500,978,3
1499330000000.0,1499330000000.0,0.098,1500,978,3
1499330000000.0,1499330000000.0,0.006,978,1500,2
1499320000000.0,1499320000000.0,0.014,1343,978,3
1499010000000.0,1499010000000.0,0.07,2436,978,17
1498400000000.0,1498410000000.0,0.082,2436,978,4
1497980000000.0,1497980000000.0,0.01,978,1500,3
1497900000000.0,1497900000000.0,0.014,1500,978,4
1497890000000.0,1497900000000.0,0.106,978,1500,2
1497890000000.0,1497890000000.0,0.07200000000000001,1500,978,2
1503220000000.0,1503230000000.0,0.016,1521,1162,2
1503180000000.0,1503180000000.0,0.006,1407,1500,3
1504260000000.0,1504260000000.0,0.056,1492,1458,5
1504250000000.0,1504250000000.0,0.06,1414,1442,8
1504140000000.0,1504140000000.0,0.088,1457,1294,5
1504140000000.0,1504140000000.0,0.058,1525,1466,6
1504230000000.0,1504230000000.0,0.074,1207,1579,3
1503970000000.0,1503970000000.0,0.098,1567,1573,2
1503970000000.0,1503970000000.0,0.064,1578,1605,2
1503970000000.0,1503970000000.0,0.05,1939,1581,6
1503970000000.0,1503970000000.0,0.08,1618,1568,2
1503960000000.0,1503960000000.0,0.078,1755,1574,2
1503890000000.0,1503890000000.0,0.114,1561,1596,2
1503810000000.0,1503810000000.0,0.156,1500,1554,3
1503790000000.0,1503790000000.0,0.122,1544,1461,3
1503710000000.0,1503710000000.0,0.088,1563,1335,3
1503710000000.0,1503710000000.0,0.124,1579,1470,2
1503700000000.0,1503700000000.0,0.17400000000000002,1617,1590,2
1503700000000.0,1503700000000.0,0.108,1207,1588,7
1503690000000.0,1503690000000.0,0.108,1595,1547,3
1503690000000.0,1503690000000.0,0.074,1855,1599,5
1503690000000.0,1503690000000.0,0.1,1589,1547,2
1503690000000.0,1503690000000.0,0.262,1571,1728,5
1503680000000.0,1503690000000.0,0.096,1720,1579,3
1503620000000.0,1503620000000.0,0.094,1579,2105,5
1503550000000.0,1503550000000.0,0.128,1768,1560,3
1503540000000.0,1503540000000.0,0.122,1552,1436,3
1503460000000.0,1503460000000.0,0.114,1536,1667,5
1503460000000.0,1503460000000.0,0.10200000000000001,1521,1549,2
1503450000000.0,1503450000000.0,0.116,1251,1545,3
1503450000000.0,1503450000000.0,0.14200000000000002,1537,1408,3
1503440000000.0,1503440000000.0,0.228,1522,1512,1
1503430000000.0,1503430000000.0,0.078,1602,1532,11
1503430000000.0,1503430000000.0,0.04,1543,1593,5
1503430000000.0,1503430000000.0,0.096,1556,1539,3
1503370000000.0,1503370000000.0,0.068,1409,1548,3
1503370000000.0,1503370000000.0,0.10200000000000001,1539,1418,5
1503360000000.0,1503370000000.0,0.138,1603,1550,3
1503360000000.0,1503360000000.0,0.056,1542,1399,4
1503360000000.0,1503360000000.0,0.124,1546,1877,5
1503360000000.0,1503360000000.0,0.124,1134,1535,4
1503360000000.0,1503360000000.0,0.17,1513,1784,2
1503350000000.0,1503350000000.0,0.076,1501,1445,5
1503970000000.0,1503970000000.0,0.028,1500,1500,8
1504200000000.0,1504200000000.0,0.226,1745,1714,4
1504190000000.0,1504190000000.0,0.124,1734,1748,4
1503540000000.0,1503550000000.0,0.202,1942,1739,6
1503540000000.0,1503540000000.0,0.15,1724,1855,7
1503540000000.0,1503540000000.0,0.27,1951,1729,11
1503540000000.0,1503540000000.0,0.162,1726,1388,5
1503540000000.0,1503540000000.0,0.092,1735,1806,6
1503540000000.0,1503540000000.0,0.14,1597,1728,3
1503540000000.0,1503540000000.0,0.078,1743,1738,10
1503540000000.0,1503540000000.0,0.182,1721,1750,7
1503540000000.0,1503540000000.0,0.274,1746,1487,5
1503540000000.0,1503540000000.0,0.092,1744,1735,9
1503540000000.0,1503540000000.0,0.036000000000000004,1749,1631,9
1503540000000.0,1503540000000.0,0.056,1769,1396,5
1503680000000.0,1503680000000.0,0.08,1795,1760,5
1503670000000.0,1503680000000.0,0.222,1729,1795,5
1503590000000.0,1503590000000.0,0.108,1795,1784,6
1503590000000.0,1503590000000.0,0.066,1770,1872,3
1503590000000.0,1503590000000.0,0.18,1783,1721,5
1503590000000.0,1503590000000.0,0.18,1884,1768,7
1503590000000.0,1503590000000.0,0.08,1756,1756,5
1503590000000.0,1503590000000.0,0.098,1724,1958,5
1503580000000.0,1503580000000.0,0.1,2036,1706,6
1503500000000.0,1503500000000.0,0.11800000000000001,1706,925,5
1504080000000.0,1504080000000.0,0.052000000000000005,1244,1219,4
1504080000000.0,1504080000000.0,0.046,1215,921,5
1503960000000.0,1503960000000.0,0.23600000000000002,1350,1201,5
1503950000000.0,1503960000000.0,0.132,1210,1280,4
1503910000000.0,1503910000000.0,0.24,1139,1212,8
1503840000000.0,1503840000000.0,0.07200000000000001,1220,1341,11
1503830000000.0,1503840000000.0,0.052000000000000005,1234,1359,6
1503780000000.0,1503780000000.0,0.124,1275,1236,11
1503780000000.0,1503780000000.0,0.074,1433,1282,3
